;extracted from datafiles
HASH: C90245A2;sub
#00015;(Xolotl) Hmmm... an impressive specimen.
#00259;You will serve me well.  (Evil Laugh)
#00517;(Lara) Don't hold your breath...
#00723;(Xolotl) Then I will make a robe of that fine pale skin.
#00959;(Lara) We'll see about that.
#01055;(Xolotl) (Evil Laugh)
00015;(Xolotl) Hmmm... an impressive specimen.
00259;You will serve me well.  (Evil Laugh)
00517;(Lara) Don't hold your breath...
00723;(Xolotl) Then I will make a robe of that fine pale skin.
00959;(Lara) We'll see about that.
01055;(Xolotl) (Evil Laugh)

HASH: 02A35C11;sub
#00015;(Xolotl) Hmmm... an impressive specimen.
#00259;You will serve me well.  (Evil Laugh)
#00517;(Lara) Don't hold your breath...
#00723;(Xolotl) Then I will make a robe of that fine pale skin.
#00959;(Lara) We'll see about that.
#01055;(Xolotl) (Evil Laugh)
00015;(Xolotl) Hmmm... an impressive specimen.
00259;You will serve me well.  (Evil Laugh)
00517;(Lara) Don't hold your breath...
00723;(Xolotl) Then I will make a robe of that fine pale skin.
00959;(Lara) We'll see about that.
01055;(Xolotl) (Evil Laugh)

HASH: 461E3CD6;sub
#00271;Oh my word.
00271;Oh my word.

HASH: 8C7B283C;sub
#00271;Oh my word.
00271;Oh my word.

HASH: 1215ED35;sub
#00017;(Xolotl) Two thousand years in this prison.
#00229;Now I will bathe in your blood!
00017;(Xolotl) Two thousand years in this prison.
00229;Now I will bathe in your blood!

HASH: EE41394F;sub
#00017;(Xolotl) Two thousand years in this prison.
#00229;Now I will bathe in your blood!
#00513;(Totec) If you continue to pursue Xolotl,
#he will kill you like the rest.
#00751;(Lara) Well, I'll just have to take my chances.
#00913;(Totec) You are being foolish!
#01067;If you must continue take this for your journey.
#01281;It was forged by the gods and holds great power.
#01527;(Lara) A bit old-fashioned,
#but I'm sure I can find some use for it.
#01825;(Totec) I wish you good fortune.
00017;(Xolotl) Two thousand years in this prison.
00229;Now I will bathe in your blood!
00513;(Totec) If you continue to pursue Xolotl,
he will kill you like the rest.
00751;(Lara) Well, I'll just have to take my chances.
00913;(Totec) You are being foolish!
01067;If you must continue take this for your journey.
01281;It was forged by the gods and holds great power.
